index_woodruff,index_scriptures,cosine_score,verse_title,volume_title,internal_id,parent_id,order,website_url,match_count,text_woodruff,text_scriptures,dates
39026,80964,0.74271,3 Nephi 1:25,Book of Mormon,1282,667.0,132,https://wilfordwoodruffpapers.org/documents/a35305b6-8844-4c3e-9109-e4ba7979e513/page/409bd661-d727-4c0c-991a-c6544b0cf419,1,and earth should pass away his words should not pass away but should all be fulfilled [##Luke 21:733##],should not pass away till it should all be fulfilled;,
39442,90710,0.7537,Doctrine and Covenants 82:18,Doctrine and Covenants,1487,670.0,143,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/11d9c8d0-8f17-4143-aab3-0e0be0354f26,1,a benefit to the Church the History of this Church,And all this for the benefit of the church of,1856-09-07
39642,64164,0.85374,1 Nephi 13:37,Book of Mormon,1489,670.0,145,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/3eaaf2f4-0a27-4b76-9fe3-b514b78e314a,1,by the gift and power of the Holy Ghost while,gift and the power of the Holy Ghost; and if,1856-09-14|1856-09-15
39642,67476,0.79983,2 Nephi 28:26,Book of Mormon,1489,670.0,145,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/3eaaf2f4-0a27-4b76-9fe3-b514b78e314a,1,by the gift and power of the Holy Ghost while,"of men, and denieth the power of God, and the gift of the Holy Ghost!",1856-09-14|1856-09-15
39642,72683,0.71498,Alma 9:21,Book of Mormon,1489,670.0,145,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/3eaaf2f4-0a27-4b76-9fe3-b514b78e314a,1,by the gift and power of the Holy Ghost while,"the gift of the Holy Ghost, and the gift of translation;",1856-09-14|1856-09-15
39642,89991,0.78249,Doctrine and Covenants 68:25,Doctrine and Covenants,1489,670.0,145,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/3eaaf2f4-0a27-4b76-9fe3-b514b78e314a,1,by the gift and power of the Holy Ghost while,and the gift of the Holy Ghost by the laying,1856-09-14|1856-09-15
39645,3518,0.74117,Exodus 8:21,Old Testament,1489,670.0,145,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/3eaaf2f4-0a27-4b76-9fe3-b514b78e314a,1,thy church and kingdom and of thy servants and may,"thy servants, and upon thy people, and into thy houses:",1856-09-14|1856-09-15
39670,92552,0.70081,Doctrine and Covenants 104:29,Doctrine and Covenants,1490,670.0,146,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/f77e1146-2cb2-48c4-8dce-3869b3bcd9b0,1,all things that pertain to this office and we pray,have the printing office and all things that pertain unto it.,1856-09-16|1856-09-17|1856-09-18|1856-09-20|1856-09-21
39708,67761,0.8166,2 Nephi 33:1,Book of Mormon,1490,670.0,146,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/f77e1146-2cb2-48c4-8dce-3869b3bcd9b0,1,by the power of the priesthood and the Holy Ghost,the power of the Holy Ghost the power of the,1856-09-16|1856-09-17|1856-09-18|1856-09-20|1856-09-21
39708,82725,0.74221,3 Nephi 21:2,Book of Mormon,1490,670.0,146,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/f77e1146-2cb2-48c4-8dce-3869b3bcd9b0,1,by the power of the priesthood and the Holy Ghost,by the power of the Holy Ghost which shall be,1856-09-16|1856-09-17|1856-09-18|1856-09-20|1856-09-21
39708,85828,0.75355,Moroni 6:9,Book of Mormon,1490,670.0,146,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/f77e1146-2cb2-48c4-8dce-3869b3bcd9b0,1,by the power of the priesthood and the Holy Ghost,power of the Holy Ghost; for as the power of,1856-09-16|1856-09-17|1856-09-18|1856-09-20|1856-09-21
39708,87076,0.73726,Doctrine and Covenants 18:32,Doctrine and Covenants,1490,670.0,146,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/f77e1146-2cb2-48c4-8dce-3869b3bcd9b0,1,by the power of the priesthood and the Holy Ghost,to the power of the Holy Ghost which is in,1856-09-16|1856-09-17|1856-09-18|1856-09-20|1856-09-21
39708,93825,0.74221,Doctrine and Covenants 124:4,Doctrine and Covenants,1490,670.0,146,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/f77e1146-2cb2-48c4-8dce-3869b3bcd9b0,1,by the power of the priesthood and the Holy Ghost,"by the power of the Holy Ghost, which shall be",1856-09-16|1856-09-17|1856-09-18|1856-09-20|1856-09-21
39757,94362,0.70126,Doctrine and Covenants 127:12,Doctrine and Covenants,1491,670.0,147,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/e10b3301-624f-4cbb-b6e1-a1e349097274,1,the Church of Jesus Christ of Latter Day Saints word,"Lord, prophet and seer of The Church of Jesus Christ of Latter-day Saints.",1856-09-22|1856-09-23|1856-09-24|1856-09-25|1856-09-26
39757,94551,0.70412,Doctrine and Covenants 128:21,Doctrine and Covenants,1491,670.0,147,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/e10b3301-624f-4cbb-b6e1-a1e349097274,1,the Church of Jesus Christ of Latter Day Saints word,tribulations of this Church of Jesus Christ of Latter-day Saints!,1856-09-22|1856-09-23|1856-09-24|1856-09-25|1856-09-26
39986,53036,0.70572,Luke 11:4,New Testament,1495,670.0,151,https://wilfordwoodruffpapers.org/documents/c3b604f1-5cf1-43ec-b895-dd787c92d975/page/0899f74c-2b61-4137-a29a-7d451ddbf7d7,1,Christ to forgive us all our sins that we may,And forgive us our sins; for we also forgive every,1856-10-02
